PM ID,Property Name
2406483,NOAA - NMAO - WAREHOUSE - AO
2406485,NOAA - NMFS - MAIN/LAB BUILDING - AO
2406487,NOAA - NMAO - MOA Building 1- AO
2406495,NOS - NOS KASISTSNA BAY LABORATORY SCUBA BLDG - AO
2406501,NOS - Beaufort - GRAY'S SHOP - AO
2406509,"OAR - MAIN OBSERV BLDG, DOBSON, Barrow - AO"
2406513,NOS - Beaufort - TRACTOR STORAGE - AO
2406525,NESDIS - WCDAS SHOP/GARAGE/STORAGE - AO
2406527,NESDIS - FCDAS OSPO RANGE RATE BLDG - AO
2406529,NESDIS - WCDAS OSDPD FACILITY OBF - AO
2406567,NOS - Beaufort - ECOLOGY NORTH WING - AO
2406587,OAR - Friz Peak Obs LAB BUILDING 1 - AO
2406591,OAR - GARAGE NESDIS NSF Barrow - AO
2406593,COMPUTER ADDITION (Bldg 18A)
2406595,NOAA - OAR AOML Miami FL Site
2406607,NOS - Beaufort - ANNEX - AO
2406609,NOS - Beaufort - ADMINISTRATION - AO
2406611,NESDIS - FCDAS SUPPLY WAREHOUSE - AO
2406613,NESDIS - WCDAS UTILITY BUILDING - AO
2406619,NOAA - NMAO - Ketchikan - AO
2406631,NOS - THE LANDING TERMINAL - GL
2406637,NOAA - NOS - PUMP HOUSE BLDG 10 - AO
2406639,NOS - NOS KASISTSNA BAY LABORATORY STORAGE SHED - AO
2406643,NOAA - NOS - MAIN BLDG - ADMIN AND RESEARCH - AO
2406661,NOAA - OAR - Hilo Office- AL
2406663,NOAA - OAR ARL Main Building Air Resources Lab Oak Ridge - AO
2406665,NOAA - OAR ARL Laboratory & Storage Space Oak Ridge TN - AO
2406667,NOAA - OAR - GMCC OBSERVATORY OFFICE MAUNA LOA - AO
2406673,OAR - AOML STORAGE BUILDING - AO
2406679,NOS - 113 HARBOR WAY - GL
2406683,NESDIS - FCDAS TRANSMITTER BLDG - AO
2406685,NESDIS - WCDAS METAL STORAGE PRE-ENG BLDG. - AO
2406687,NESDIS - WCDAS CAMPUS - AO
2406689,NESDIS - FCDAS GRAVEL STORAGE BLDG - AO
2406691,NESDIS - FCDAS OSPO GENERATOR BLDG - AO
2406697,"NOAA - NMAO - NEWPORT, OR"
2406699,NOAA - NMAO - KODIAK - GL
2406713,NOS - THE MARINERS MUSEUM (TMM) - AL
2406715,NOS - STELLWAGEN BANK NMS CAMPUS - AO
2406723,NOS - GFNMS - Bldg 1903 - Lifeboat Station - AL
2406725,NOS - KUKUI GROVE EXECUTIVE CENTER - GL
2406727,Wet Lab Bldg
2406745,NOAA - OAR ARL Meterological Computer Lab Oak Ridge TN - AO
2406747,OAR - LAB BLDG - AO
2406751,OAR - Fritz Peak Obs - COTTAGE - AO
2406753,NOS - WOODFORD 5 - AO
2406759,NOS - Beaufort - BOAT LOCKER - AO
2406763,ARCHIVE- NESDIS - WORLD WEATHER - DGL - VACATED 2013
2406765,NESDIS - FCDAS VLBI OPERATIONS BLDG - AO
2406769,NESDIS - NOAA SATELLITE OPERATIONS FACILITY - GO
2406773,NESDIS - FCDAS OSPO BOOM TRUCK GARAGE - AO
2406775,NOAA - NMAO - AOC @ MACDILL AFB-BLDG #44 - AL
2406805,NOAA - OAR - Earth Systems Res Lab Table Mtn E-12-B - AO
2406807,NOAA-OAR-GLERL-Bldg 2
2406809,NOS - WOODFORD 7 - AO
2406819,NOS - BEAUFORT - AO
2406821,NESDIS - FCDAS OPERATIONS BUILDING - AO
2406827,NESDIS - WCDAS METAL STORAGE BUILDING #2 - AO
2406829,NESDIS - FCDAS FACILITIES BLDG - AO
2406831,NOAA - INGLEWOOD - GL
2406835,NOAA - NMAO - MOA BUILDING #2/OFFICE/RESEARCH - AO
2406858,NOS - GFNMS - Bldg 1902 - Residence Garage - AL
2406860,NOS - GFNMS - Bldg 1901 - Residence - AL
2406866,NOS - MPA CENTER - AL
2406868,Conference Room Bldg
2406870,Visitor Center Bldg
2406888,NOAA - OAR ARL Wind Tunnel Facility Oak Ridge TN - AO
2406892,NOS - WOODFORD 2 - AO
2406894,NOS - Beaufort - WATERSIDE - AO
2406904,NESDIS - FCDAS STORAGE VLBI 26M - AO
2406908,NESDIS - FCDAS OSPO CAFETERIA UTILITY BLDG - AO
2406912,NOAA - NMAO - ELECTRICAL BUILDING - AO
2414306,NOAA-NMFS-NW-AFSC-EMERGENCY GENERATOR SHED-AO
