Address,City,FILE,PM ID,Property ID,Property Name,Property Type,State,Zip
County Airport Authorit,MONTOURSVILLE,RPMD,,PAE02701,ASOS Williamsport Lycoming Airport,Land,PA,17754
Rd 4  Box 128,SELINGROVE,RPMD,,PAE04501,ASOS Penn Valley Airport KSIG,Land,PA,17870
Allentown Bethehem Easton Airport,ALLENTOWN,RPMD,,PAE03201,ASOS Allentown Bethehem Easton Airport,Land,PA,18103
East Rock Road,ALLENTOWN,RPMD,,PAE05201,NWR Allentown  PA WXL39,Structure,PA,18103
"State Route 652, 1.5 mi Intersection with Route 6",HONESDALE,RPMD,,14001184,NWR Honesdale PA Wayne County WNG705,Structure,PA,18431
Wilkes-barre/scranton I,PITTSTON,RPMD,,PAE03401,ASOS Wilkes-Barre PA Scranton Airport,Land,PA,18641
"41.182556, -75.870528",WILKES BARRE,RPMD,,14001409,NWR Wilkes-Barre (Fairview) PA WXL43,Structure,PA,18706
Old Easton Road,DOYLESTOWN,RPMD,,PAE03001,ASOS Doylestown Airport,Land,PA,18901
12 South 12th Street,PHILADELPHIA,RPMD,,PAE05701,NWR PSFS Philadelphia PA KIH28,Structure,PA,19107
Vhf-fm Tower,PHILADELPHIA,RPMD,,PAE02101,NWR Roxborough PA VHF-FM,Structure,PA,19128
3751 Island Avenue,PHILADELPHIA,RPMD,,PAE04101,ASOS Philadelphia International Airport,Land,PA,19153
3751 Island Avenue,PHILADELPHIA,RPMD,,PAE04201,ASOS Northeast Philadelphia Airport,Land,PA,19153
LAT 39D 51.5574N LONG 75D 47.1624W,AVONDALE,RPMD,,14000725,Climate Reference Network (CRN),Land,PA,19311
551 Marshallton Road,DOWNINGTOWN,RPMD,,PAE03501,ASOS Bob Shannon Memorial Airport,Land,PA,19335
3310 West Ridge Pike,POTTSTOWN,RPMD,,PAE02801,ASOS Pottstown Limerick Airport,Land,PA,19464
Rd #9  Box 9416,READING,RPMD,,PAE04401,ASOS Reading Regional Carl A,Land,PA,19605
City County Building,WILMINGTON,RPMD,,DEE00301,ASOS New Castle County Airport,Land,DE,19801
P.O. Box 589,GEORGETOWN,RPMD,,DEE00201,ASOS Sussex County Airport,Land,DE,19947
"28953 Mount Joy, Road 297",MILLSBORO,RPMD,,14001561,NWR Millsboro (Lewes/Sussex) DE WXJ94,Structure,DE,19966
Washington National Air,WASHINGTON,RPMD,,VAE08101,Asos-washington National Ap,Land,VA,20001
Box 17045,WASHINGTON,RPMD,,VAE08001,Asos-washington Dulles Int'l,Land,VA,20041
14800 Joplin Road,MANASSAS,RPMD,,VAE04001,NWR Manassas (Independent Hill) VA KHB36,Structure,VA,20112
44087 Weather Service Road,STERLING,LOOKUP,1782997,VAE07901,WFO BALTIMORE/WASHINGTON,Building,VA,20166
43741 Weather Service Rd,STERLING,LOOKUP,4550885,VAN02127,WFO Sterling  Storage/Warehouse  Bldg 27,Building,VA,20166
43741 Weather Service Road,STERLING,RPMD,,14000139,Sterling Field Support Center Main Bldg 1,Building,VA,20166
43741 Weather Service Road,STERLING,RPMD,,14001641,NWS SFSC Observation Building,Building,VA,20166
43741 Weather Service Road,STERLING,RPMD,,14001642,NWS SFSC Storage Building,Building,VA,20166
43858 Weather Service Road,STERLING,RPMD,,14001643,NWS WFO Baltimore/Washington,Building,VA,20166
43741 Weather Service Rd,STERLING,RPMD,,VAN02118,LAB- ASOS Test,Building,VA,20166
43741 Weather Service Rd,STERLING,RPMD,,VAN02119,Office - Contractor Bldg 19,Building,VA,20166
43741 Weather Service Road,STERLING,RPMD,,VAN02126,Sterling R&D Center Site,Land,VA,20166
5825 UNIVERSITY RESEARCH COURT,RIVERDALE,RPMD,,MD1844ZZ,M SQUARE UNIVERSITY OF MARYLAN,Building,MD,20740
4303 SUITLAND ROAD,SUITLAND,RPMD,,MD0781AG,SUITLAND DAYCARE CENTER,Building,MD,20746
GODDARD BLDG 25 RM N154 AND N154A,GREENBELT,RPMD,,14000960,Wallops Backup Facility (WBU),Building,MD,20771
8800 Greenbelt Road,GREENBELT,RPMD,,14001035,NESDIS GOES-R Bldg 6 Greenbelt MD,Building,MD,20771
1221 CARAWAY COURT,UPPER MARLBORO,RPMD,,MD0277ZZ,INGLEWOOD,Building,MD,20774
20030 CENTURY BOULEVARD,GERMANTOWN,RPMD,,MD1823ZZ,20030 CENTURY BOULEVARD,Building,MD,20874
1335 E WEST HWY,SILVER SPRING,RPMD,,MD0205ZZ,SS METRO CENTER 1,Building,MD,20910
8403 COLESVILLE ROAD,SILVER SPRING,RPMD,,MD0231ZZ,SS METRO PLAZA 2,Building,MD,20910
R1723 Reisterstown Road,PIKESVILLE,RPMD,,14001386,Ground Space for Transmitter Bldg,Land,MD,21208
R1723 Reisterstown Road,PIKESVILLE,RPMD,,14001387,Ground Space Fuel Tank & Gen Pads Pikesville MD,Land,MD,21208
R1723 Reisterstown Road,PIKESVILLE,RPMD,,MDE02301,NWR Pikesville MD KEC83,Structure,MD,21208
P.o. Box 8766,BALTIMORE,RPMD,,MDE02101,Asos - Balt-wash Int'l Airport,Land,MD,21240
410 SEVERN AVE,ANNAPOLIS,RPMD,,MD0372ZZ,ANNAPOLIS CITY MARINA,Building,MD,21403
"39.581786, -78.898419",FROSTBURG,RPMD,,14001032,NWR Frostburg (Midland-Dans Rock) MD WXM43,Structure,MD,21532
904 South Morris Street,OXFORD,RPMD,,14000755,Cooperative Oxford Laboratory Pier (Rebuilt 2007),Structure,MD,21654
106 Richardson ST,OXFORD,RPMD,,14001628,NOS Campbell's Boatyard Jack's Point,Structure,MD,21654
904 S. Morris Street,OXFORD,RPMD,,MDC01103,Environmental Science Training Center,Structure,MD,21654
904 S. Morris Street,OXFORD,RPMD,,MDC01107,Cooperative Oxford Laboratory Land,Land,MD,21654
904 S. Morris Street,OXFORD,RPMD,,MDC01108,Stormwater Retention Pond,Structure,MD,21654
715 Shine Smith Road,SUDLERSVILLE,RPMD,,MDE03101,NWR Sudlersville MD,Structure,MD,21668
11668 National Pike,CLEAR SPRING,RPMD,,14001576,NWR Clear Spring (Hagerstown) MD WXM42,Structure,MD,21722
100 West Washington Str,HAGERSTOWN,RPMD,,MDE02401,Asos-wash County Regional Arpt,Land,MD,21740
212 W MAIN ST,SALISBURY,RPMD,,MD0465ZZ,PLAZA GALLERY BUILDING,Building,MD,21801
Rt. 4  Box 140,SALISBURY,RPMD,,MDE02801,ASOS Salisbury-wicomico Reg A/p,Land,MD,21801
P.o. Box 158,OCEAN CITY,RPMD,,MDE02201,Asos-ocean City Municipal Arpt (N80),Land,MD,21842
4016 Dodlyt Road,HEATHSVILLE,RPMD,,VAE00801,NWR Heathesville  VA WXM57,Structure,VA,22473
56 Windjammer Lane,WHITE STONE,RPMD,,VAE08501,Windmill Point COOPS Tide Station White Stone VA,Structure,VA,22578
"Latitude: 38.20Â°N, Longitude: 77.37Â°W",WOODFORD,RPMD,,14001051,"Land NGS, VA, Woodford Corbin",Land,VA,22580
15351 Office Drive,WOODFORD,RPMD,,14001071,"NGS Bldg #1-Admin/Office, VA, Woodford Corbin",Building,VA,22580
LAT 37d 59.85'N/Long 78D 27.95W,CHARLOTTESVILLE,RPMD,,14000781,CLIMATE REFERENCE NETWORK (CRN),Land,VA,22901
201 Bowen Loop,CHARLOTTESVILLE,RPMD,,VAE06701,Asos-chrlttsvll Albemarle Airp,Land,VA,22911
P.o. Box A-3,RICHMOND,RPMD,,VAE04901,Asos-richmond Intl/byrd Field,Land,VA,23231
35663 Chincoteague Road,WALLOPS ISLAND,RPMD,,14001654,NESDIS CDA Wallups Island Powerhouse VA,Structure,VA,23337
NASA Wallops Station,WALLOPS ISLAND,RPMD,,VAE01413,Land - Wallops Island,Land,VA,23337
Asos Wallops Flight Fac,WALLOPS ISLAND,RPMD,,VAE07601,Asos Wallops Flight Facility,Land,VA,23337
LAT 37D 17.4456N/LONG 75D 55.629W,OYSTER,RPMD,,14000421,CLIMATE REFERENCE NETWORK (CRN),Land,VA,23419
5277 Nansemond Parkway,SUFFOLK,RPMD,,VAE02301,NWR Norfolk Driver Suffolk VA KHB37,Structure,VA,23435
"2100 Marina Shores Drive, Rack C-202",VIRGINIA BEACH,RPMD,,14001222,NMFS Virginia Beach VA Boat Storage,Structure,VA,23451
439 W. York Street,NORFOLK,RPMD,,14001312,OMAO MOC-A Bulkhead,Structure,VA,23510
200 GRANBY ST,NORFOLK,RPMD,,VA1608ZZ,FEDERAL BUILDING,Building,VA,23510
439 W. York Street,NORFOLK,RPMD,,VAE02101,MOC-A Parcel 1,Land,VA,23510
439 W. York Street,NORFOLK,RPMD,,VAE02104,MOC-A Guard House,Building,VA,23510
538 Front Street,NORFOLK,RPMD,,VAE02109,NOS NGS Parcel 2,Land,VA,23510
439 W. York Street,NORFOLK,RPMD,,VAE02120,MOC-A New Shore Power (upgrade),Structure,VA,23510
Newport News Williamsbu,NEWPORT NEWS,RPMD,,VAE06601,Asos-nwprt News/willmsbrg Intl,Land,VA,23602
804 OMNI BLVD,NEWPORT NEWS,RPMD,,VA3004ZZ,Cedar One,Building,VA,23606
1006 SETTLERS LANDING RD,HAMPTON,RPMD,,VA0514ZZ,1006-N Settlers Landing Road,Building,VA,23669
10009 General Mahone Hi,WAKEFIELD,RPMD,,VAE07801,Wakefield WFO - Land,Land,VA,23888
P. O. Bo 726,WAKEFIELD,RPMD,,VAE08201,Asos-wakefield Municipal Ap,Land,VA,23888
5202 Aviation Drive,ROANOKE,RPMD,,VAE07501,Asos-roanoke Regnal/woodrm Fld,Land,VA,24012
8179 Media Way,ROANOKE,RPMD,,VAE06901,NWR Poor Mountain Roanoke VA WXL60,Structure,VA,24014
1750 Forecast Drive,BLACKSBURG,RPMD,,VAE07702,WFO and UAIB Blackburg VA,Land,VA,24060
1872 Pratt Drive,BLACKSBURG,RPMD,,VAE08301,Roanoake/blacksburg Rda Site,Land,VA,24060
1872 Pratt Drive,BLACKSBURG,RPMD,,VAE08302,Roanoke/blacksburg Warranty De,Land,VA,24060
Sand Mountain,WYTHEVILLE,RPMD,,14001158,NWR Wythe County Sand Mountain VA Wx2500,Structure,VA,24382
4308 Wards Road,LYNCHBURG,RPMD,,VAE07201,Asos-lnychbrg/prston Glenn Fld,Land,VA,24502
Regional Airport/p.o. B,DANVILE,RPMD,,VAE06401,Asos-danville Regional Airport,Land,VA,24543
1035 Farm Road,SOUTH BOSTON,RPMD,,14000774,NWR South Boston VA KJY86,Structure,VA,24592
Route 5  Box 202,BLUEFIELD,RPMD,,WVE02301,Asos-mercer County Airport,Land,WV,24701
"38.975636, -81.532761",MILLWOOD,RPMD,,14000222,NWR Millwood Garfield Jackson County WV  WXM70,Structure,WV,25262
931 Greenbrier,CHARLESTON,RPMD,,14000713,NWS Tower Farm - FAA Transfer to NOAA,Land,WV,25301
931 Greenbrier Street,CHARLESTON,RPMD,,14000714,NWS Tower Farm Fencing,Structure,WV,25301
Box 175  Yeager Airport,CHARLESTON,RPMD,,WVE01701,Asos-yeager Airport,Land,WV,25311
"Lot L, Southridge Center",CHARLESTON,RPMD,,14000751,NEXRAD Radar Site,Land,WV,25314
"Lot L, Station 0+00 to 0+25",CHARLESTON,RPMD,,14000752,Easement for NEXRAD Site,Land,WV,25314
Rt 4  Box 431a,MARTINSBURG,RPMD,,WVE02701,Asos-eastern W.va Regional KMRB,Land,WV,25401
Mingo County,GILBERT,RPMD,,WVE02201,NWR Gilbert Mingo Mtn Horsepen Mtn WV WXM75,Structure,WV,25621
1449 Airport Road,HUNTINGTON,RPMD,,WVE02601,Asos-tri-state/milton Ferguson,Land,WV,25704
469 Airport Circle,BEAVER,RPMD,,WVE01901,Asos-raleigh County Airport,Land,WV,25813
"44.9141666666667, -81.1075",FLAT TOP,RPMD,,14001536,NWR Flat Top Mt Beckley WV  WXM71,Structure,WV,25841
"44.9141666666667, -81.1075",FLAT TOP MOUNTAIN,RPMD,,WVE01201,NWS Flat Top Mt Beckley WV Site,Land,WV,25841
