Address,City,FILE,PM ID,Property ID,Property Name,Property Type,State,Zip
43741 Weather Service Rd,STERLING,LOOKUP,4550885.0,VAN02127,WFO Sterling  Storage/Warehouse  Bldg 27,Building,VA,20166
43741 Weather Service Rd.,STERLING,LOOKUP,,VAN02121,Laiser Trailer Storage - Bldg. 21,Building,VA,20166
43741 Weather Service Rd.,STERLING,LOOKUP,,VAN02122,WFO Sterling Gen Storage Warehouse  Stx-Bldg. 22,Building,VA,20166
43741 Weather Service Road,STERLING,LOOKUP,,14000140,UPPER AIR BUILDING,Building,VA,20166
44087 Weather Service Road,STERLING,LOOKUP,1782997.0,VAE07901,WFO BALTIMORE/WASHINGTON,Building,VA,20166
208 Cruz Alta Road,TAOS,LOOKUP,,00000043,NM Taos 27 NW,Land,NM,87571
P.o. Box 157 Taunton Ai,Taunton,LOOKUP,,MAE02801,Asos - Taunton Municipal Arprt,Land,MA,02718
1521 North Project Drive,TEMPE,LOOKUP,,AZW02901,WFO Phoenix AZ,Building,AZ,85281
Terminal Drive  Room 30,VANDALIA,LOOKUP,,OHE03301,Asos-Dayton Generl Arprt South,Land,OH,45377
Rfd - Box 850,VINEYARD HAVEN,LOOKUP,,MAE02401,Asos-Marthas Vineyard Airport,Land,MA,02568
109 E. Lawing Drive,NEBO,LOOKUP,,14001439,OAR ESRL PMS Nebo NC,Land,NC,28761
Route 1  Box 159a,WESTMINSTER,LOOKUP,,SCE01701,Asos- Clemson/oconee Cnty Arpt,Land,SC,29693
P.O. Box 560,WHITERIVER,LOOKUP,,00000103,AZ Whiteriver A 1 SW Whiteriver AZ,Land,AZ,85941
"9650 W. 400 North, Section 12, T2N, R6W",WOLCOTT,LOOKUP,,INM02901,Wind Profiler 17 Wolcott IN WLC13,Land,IN,47995
232 County Road 79,WOODLAND PARK,LOOKUP,,00000071,CO Colorado Springs 23 NW Woodland Park CO,Land,CO,80866
"15400 Cnty Rd. L, Box185",WOODROW,LOOKUP,,00000055,CO Genoa 35 S Woodrow CO,Land,CO,80757
Yakutat Airport,YAKUTAT,LOOKUP,2397832.0,AKW02704,WSO Storage Warehouse Yakutat AK,Building,AK,99689
Yakutat Airport,YAKUTAT,LOOKUP,,AKW02706,WSO Warehouse Yakutat AK Site,Land,AK,99689
"45.719928, -120.187686",ARLINGTON,LOOKUP,,14001580,OAR Windprofiler Arlington OR Site,Land,OR,97812
187 Road 2575,AZTEC,LOOKUP,,NMM02601,1 Wind Profiler AZCN5,Land,NM,87410
"35.427144, -92.379919",BEE BRANCH,LOOKUP,,14001592,OAR OP & Wind Profiler Bee Branch,Land,AR,72013
